,size_mb,price,rating_count_tot,user_rating,prime_genre,sup_devices.num,lang.num,free_vs_paid,min_profit
723,41.04,9.99,10619,5.0,Games,37,3,paid,106083.81
724,107.84,0.0,13572,3.0,Sports,37,1,free,0.0
725,57.63,2.99,149,3.5,Reference,37,1,paid,445.51000000000005
726,13.82,7.99,249,4.5,Productivity,38,6,paid,1989.51
727,82.1,0.0,152,2.5,Finance,38,1,free,0.0
728,28.87,2.99,1073,4.0,Games,43,6,paid,3208.2700000000004
729,133.67,0.99,9763,4.5,Games,43,1,paid,9665.37
730,77.52,0.0,60490,4.0,Lifestyle,37,22,free,0.0
731,133.38,1.99,2552,4.5,Games,26,1,paid,5078.48
732,277.23,14.99,1378,4.5,Games,40,8,paid,20656.22
733,177.01,0.0,38,3.0,Shopping,38,1,free,0.0
734,30.17,0.0,299,4.5,News,37,2,free,0.0
735,202.73,3.99,5362,4.5,Games,37,2,paid,21394.38
736,126.81,5.99,6109,4.5,Entertainment,24,13,paid,36592.91
737,126.97,0.0,4263,4.5,News,37,2,free,0.0
738,80.98,0.99,714,4.0,Photo & Video,37,7,paid,706.86
739,185.31,4.99,3170,4.0,Games,37,9,paid,15818.300000000001
740,79.14,0.0,936,4.0,Utilities,24,1,free,0.0
741,52.52,0.0,1341,4.0,Utilities,24,29,free,0.0
742,396.18,4.99,4934,4.0,Games,24,8,paid,24620.66
743,48.99,2.99,9649,4.0,Education,40,1,paid,28850.510000000002
744,29.78,0.0,11,4.0,Shopping,37,8,free,0.0
745,156.63,2.99,2493,4.0,Games,24,1,paid,7454.070000000001
746,707.76,4.99,1888,3.5,Games,24,1,paid,9421.12
747,142.78,4.99,923,4.5,Games,24,12,paid,4605.77
748,77.19,0.0,65,3.5,Shopping,37,1,free,0.0
749,71.26,0.0,115,2.0,Travel,37,2,free,0.0
750,120.04,0.0,10278,3.5,Travel,37,19,free,0.0
751,157.71,0.0,624,4.0,Social Networking,37,2,free,0.0
752,108.25,0.0,177501,4.5,Social Networking,37,21,free,0.0
753,34.99,0.99,500,4.0,Games,47,1,paid,495.0
754,32.15,0.0,159735,4.0,Sports,37,1,free,0.0
755,71.31,0.0,1061624,4.5,Social Networking,37,27,free,0.0
756,63.51,0.0,98344,3.5,Entertainment,37,2,free,0.0
757,39.21,0.0,26278,3.0,Entertainment,37,1,free,0.0
758,13.67,0.0,35769,4.5,Utilities,37,1,free,0.0
759,495.38,9.99,540,4.5,Games,43,2,paid,5394.6
760,133.0,0.0,224,3.5,Music,24,3,free,0.0
761,57.52,0.0,11665,4.0,Entertainment,24,13,free,0.0
762,34.04,4.99,20951,4.0,Utilities,26,10,paid,104545.49
763,1.74,1.99,43,4.5,Productivity,37,1,paid,85.57
764,51.95,16.99,125,4.0,Productivity,37,1,paid,2123.75
765,28.13,1.99,92,4.5,Book,37,1,paid,183.08
766,270.52,16.99,857,4.0,Games,24,8,paid,14560.429999999998
767,4.3,0.99,528,4.0,Photo & Video,40,1,paid,522.72
768,25.8,2.99,626,4.5,Games,47,1,paid,1871.7400000000002
769,136.49,0.0,1026,4.5,Shopping,37,4,free,0.0
770,18.82,1.99,1403,4.5,Utilities,38,15,paid,2791.97
771,5.94,0.99,117,1.0,Social Networking,37,13,paid,115.83
772,94.86,0.99,193,3.5,Games,37,1,paid,191.07
773,117.6,7.99,896,4.0,Education,37,17,paid,7159.04
774,4.22,2.99,35,3.0,Navigation,38,1,paid,104.65
775,109.84,0.0,183621,4.5,Games,37,1,free,0.0
776,184.02,4.99,616,4.5,Games,38,5,paid,3073.84
777,142.51,0.0,397,3.0,Social Networking,37,1,free,0.0
778,196.14,47.99,0,0.0,Reference,37,2,paid,0.0
779,5.72,0.0,0,0.0,Sports,40,2,free,0.0
780,329.88,2.99,4866,4.5,Games,40,3,paid,14549.34
781,390.75,2.99,20355,4.5,Games,37,1,paid,60861.450000000004
782,14.64,1.99,6,3.5,Reference,37,2,paid,11.94
783,60.0,3.99,1855,4.5,Lifestyle,38,1,paid,7401.450000000001
784,903.32,4.99,9741,4.5,Games,40,3,paid,48607.590000000004
785,754.5,13.99,818,3.5,Music,37,1,paid,11443.82
786,28.64,0.0,458,3.5,Social Networking,26,2,free,0.0
787,35.06,0.99,6374,4.5,Photo & Video,37,21,paid,6310.26
788,108.97,0.0,7569,3.5,Finance,24,1,free,0.0
789,92.38,0.0,76392,4.5,Games,37,1,free,0.0
790,27.64,0.99,274,3.5,Games,43,3,paid,271.26
791,582.58,0.0,35058,4.5,Games,40,12,free,0.0
792,16.72,0.0,78,4.5,Games,37,2,free,0.0
793,55.45,2.99,4748,5.0,Photo & Video,37,1,paid,14196.52
794,174.57,1.99,12162,4.5,Games,40,1,paid,24202.38
795,82.94,0.0,2333,4.5,Weather,38,3,free,0.0
796,108.83,0.0,150,4.0,Shopping,24,1,free,0.0
797,61.18,2.99,1006,4.0,Education,40,1,paid,3007.94
798,75.35,0.0,1839,4.5,Travel,37,1,free,0.0
799,62.57,0.0,2661,4.0,Utilities,37,8,free,0.0
800,55.02,0.0,8651,3.5,Education,37,1,free,0.0
